locality,latitude,longitude,display_name,class,type,query_used
Tunga Village,19.1193710,72.8924338,"Tunga Village, Chandivali, L Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400072, India",,neighbourhood,"Tunga Village, Maharashtra, India"
Ulwe,17.8910705,73.7891047,"ulwe, 123, Satara, Jaoli, Satara, Maharashtra, 400706, India",,village,"Ulwe, Maharashtra, India"
Union Park,19.0702474,72.8223173,"Union Park, Khar, H/W Ward, Mumbai Zone 3, Mumbai, Mumbai Suburban District, Maharashtra, India",,park,"Union Park, Maharashtra, India"
Uran,18.8808000,72.9386000,"Uran, Uran Subdistrict, Raigad, Maharashtra, 400702, India",,town,"Uran, Maharashtra, India"
Usarli Khurd,,,,,,
Vaity Wadi,,,,,,
Vashi,19.0632481,72.9987966,"Vashi, Vashi Station Road, Vashi, Navi Mumbai, Thane Subdistrict, Thane, Maharashtra, 400703, India",,station,"Vashi, Maharashtra, India"
Vichumbe,18.9917532,73.1228712,"Vijay Marg - Matheran Road, New Panvel, Panvel, Panvel Subdistrict, Raigad, Maharashtra, 497586, India",,secondary,"Vichumbe, Maharashtra, India"
Vidyavihar,19.0795422,72.8971169,"Vidyavihar, Station Road, Kirol VIllage, Vidya Vihar West, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400086, India",,station,"Vidyavihar, Maharashtra, India"
Vihighar,,,,,,
Vikhroli,19.1114795,72.9280210,"Vikhroli, P. Soman Marg, Hariyali, Vikhroli West, S Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400059, India",,station,"Vikhroli, Maharashtra, India"
Vikhroli Park Site,19.1035605,72.9167731,"Vikhroli Park Site Road 8, Park Site Colony, Pirojsha Godrej Nagar, N Ward, Mumbai Zone 6, Mumbai, Mumbai Suburban District, Maharashtra, 400079, India",,tertiary,"Vikhroli Park Site, Maharashtra, India"
Vishnu Nagar,19.0250002,72.9061681,"Vishnu Nagar, Fertilizer Colony, M/E Ward, Mumbai Zone 5, Mumbai, Mumbai Suburban District, Maharashtra, 400074, India",,neighbourhood,"Vishnu Nagar, Maharashtra, India"
Wadala,19.0269192,72.8759337,"Wadala, F/N Ward, Mumbai Zone 2, Mumbai City District, Maharashtra, 400037, India",,suburb,"Wadala, Maharashtra, India"
Wadeghar,19.2543297,73.1209207,"Wadeghar Main Road, Kalyan, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421308, India",,tertiary,"Wadeghar, Maharashtra, India"
ern Railway Colony,18.9799582,72.8334815,"Dr. Babasaheb Ambedkar Memorial Central Railway Hospital, Lalbaug Flyover, Railway Colony, Lalbaug, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 400027, India",,hospital,Central Railway Colony Mumbai Maharashtra India
nanabhai chawl mazg,18.9697337,72.8406201,"Mazgaon, E Ward, Mumbai Zone 1, Mumbai City District, Maharashtra, 200008, India",,suburb,Mazgaon Mumbai Maharashtra India
on demand,,,,,,
titwala,19.2963827,73.2030656,"Titwala, Titwala - Ambivli Road, Titwala, Kalyan-Dombivli, Kalyan Subdistrict, Thane, Maharashtra, 421605, India",,station,"titwala, Maharashtra, India"
